State or UT code,State or UT,Total,Male,Female,Difference
1,Jammu and Kashmir,2008670,1080662,927982,152680
2,Himachal Pradesh,763864,400681,363183,37498
3,Punjab,2941570,1593262,1348308,244954
4,Chandigarh,117953,63187,54766,8421
5,Uttarakhand,1328844,704769,624075,80694
6,Haryana,3297724,1802047,1495677,306370
7,Delhi,1970510,1055735,914775,140960
8,Rajasthan,10504916,5580212,4924004,656208
9,Uttar Pradesh,29728235,15653175,14075060,1578115
10,Bihar,18582229,9615280,8966949,648331
11,Sikkim,61077,31418,29659,1759
12,Arunachal Pradesh,202759,103430,99330,4100
13,Nagaland,285981,147111,138870,8241
14,Manipur,353237,182684,170553,12131
15,Mizoram,165536,83965,81571,2394
16,Tripura,444055,227354,216701,10653
17,Meghalaya,555822,282189,273633,8556
18,Assam,4511307,2305088,2206219,98869
19,West Bengal,10112599,5187264,4925335,261929
20,Jharkhand,5237582,2695921,2541661,154260
21,Odisha,5035650,2603208,2432442,170766
22,Chhattisgarh,3584028,1824987,1759041,65946
23,Madhya Pradesh,10548295,5516957,5031338,485619
24,Gujarat,7564464,3974286,3519890,454396
25,Daman and Diu,25880,13556,12314,1242
26,Dadra and Nagar Haveli,49196,25575,23621,1954
27,Maharashtra,12848375,6822262,6026113,796149
28,Andhra Pradesh,8642686,4448330,4194356,253974
29,Karnataka,6855801,3527844,3327957,199887
30,Goa,139495,72669,66826,5843
31,Lakshadweep,7088,3715,3373,342
32,Kerala,3322247,1695889,1626358,69531
33,Tamil Nadu,6894821,3542351,3352470,189881
34,Puducherry,127610,64932,62678,2254
35,Andaman and Nicobar Islands,39497,20094,19403,691
