State or UT code,State or UT,Total,Male,Female
1,Jammu and Kashmir,,,
2,Himachal Pradesh,,,
3,Punjab,,,
4,Chandigarh,,,
5,Uttarakhand,,,
6,Haryana,22055357,11703083,10352274
7,Delhi,14782725,7920675,6862050
8,Rajasthan,58116096,30039874,28076222
9,Uttar Pradesh,169853242,88943240,80910002
10,Bihar,85222408,44570067,40652341
11,Sikkim,546611,290243,256368
12,Arunachal Pradesh,1179852,616802,563050
13,Nagaland,1694621,878596,816025
14,Manipur,2368519,1187080,1181439
15,Mizoram,925478,468374,457104
16,Tripura,3226977,1644513,1582464
17,Meghalaya,2408185,1210479,1197706
18,Assam,26657965,13649839,13008126
19,West Bengal,81235137,41740125,39495012
20,Jharkhand,27728656,14235767,13492889
21,Odisha,36911708,18598470,18313238
22,Chhattisgarh,21956168,11002928,10953240
23,Madhya Pradesh,62049270,32095963,29953307
24,Gujarat,52889452,27507996,25381456
25,Daman and Diu,217031,136544,80487
26,Dadra and Nagar Haveli,293657,167603,126054
27,Maharashtra,99524597,51539135,47985462
28,Andhra Pradesh,76022847,38061551,37961296
29,Karnataka,54274903,27529898,26745005
30,Goa,1318228,668042,650186
31,Lakshadweep,57341,29391,27950
32,Kerala,,,
33,Tamil Nadu,65244137,32616520,32627617
34,Puducherry,1116854,545553,571301
35,Andaman and Nicobar Islands,340447,182236,158211
,Total (India),1051404135,540772113,510632022
