state,confirmed,active,passive,deaths,dose1,dose2,dose3,precaution_dose,total_doses,population
Andaman and Nicobar,10742,1,10612,129,313284,320383,236936,53427,991263,426251
Andhra Pradesh,2339067,3,2324331,14733,40643161,43549055,11703273,6579565,110556756,52883163
Arunachal Pradesh,66890,0,66594,296,860442,747177,72403,58618,1911760,1528296
Assam,746100,0,738065,8035,22549957,20561790,2082670,1259853,50284713,34586234
Bihar,851379,15,839062,12302,62944633,59144387,11983504,3868082,157197041,119461013
Chandigarh,99348,6,98161,1181,1089254,917701,48480,63046,2282281,1182104
Chhattisgarh,1177749,6,1163597,14146,18955635,18534989,5737679,1804891,49148991,28566990
Dadra and Nagar Haveli and Daman and Diu,11591,0,11587,4,730746,594929,136967,22486,1578492,657391
Delhi,2007188,35,1980632,26521,16600054,14348835,2312803,1053393,37366540,18802494
Goa,259079,26,255040,4013,1354828,1224173,60838,76559,2872582,1542750
Gujarat,1277557,41,1266473,11043,49314588,49428283,13459618,5938121,127793995,63907200
Haryana,1056602,43,1045845,10714,21955717,18732346,1255308,701811,45457359,27388008
Himachal Pradesh,312644,23,308408,4213,6041658,5780254,1485328,823689,15278680,7316708
Jammu and Kashmir,479410,17,474608,4785,9941757,10386967,930096,669871,24738045,14046258
Jharkhand,442570,3,437236,5331,21300448,16046070,1306687,664308,43689818,37329128
Karnataka,4071893,1275,4030311,40307,50016690,50455767,5727031,4726542,120928298,66165886
Kerala,6828245,1389,6755304,71552,27013745,23791879,854595,2215656,57477992,35330888
Ladakh,29412,3,29178,231,219564,186942,68766,53990,564943,307204
Lakshadweep,11415,0,11363,52,56908,55992,15757,6949,145008,72210
Madhya Pradesh,1054918,4,1044138,10776,54140166,54035268,9854998,3787239,133590886,82342793
Maharashtra,8136588,164,7988008,148416,84644083,71593498,5022623,4450343,177678317,120837347
Manipur,139922,0,137773,2149,1463998,1225599,114004,165096,3265933,3008546
Meghalaya,96783,1,95158,1624,1332102,1024902,30706,56987,2621058,3276323
Mizoram,238964,0,238238,726,785749,668814,79573,67619,1790818,1205974
Nagaland,35986,0,35204,782,837775,684306,26060,43640,1737554,2189297
Odisha,1336552,91,1327256,9205,31453659,29949756,9995330,3199384,81445474,45429399
Puducherry,175508,5,173528,1975,912901,801853,303475,106956,2272617,1397707
Punjab,784205,49,764867,19289,22352681,19602907,799986,1041039,46970300,29611935
Rajasthan,1315455,88,1305714,9653,51103054,46510275,4387205,2995864,115325059,78230816
Sikkim,44319,1,43819,499,539927,509134,158276,55637,1360444,671720
Tamil Nadu,3594388,60,3556279,38049,56659544,53499923,6033504,3021694,127442647,76481545
Telengana,841324,71,837142,4111,29607672,29053708,10525975,2702159,77201709,38472769
Tripura,108034,0,107094,940,2658852,2328613,271434,204733,5916312,4057847
Uttar Pradesh,2128103,46,2104424,23633,154058287,147716010,35623544,9240735,390639497,228959599
Uttarakhand,449379,28,441600,7751,8180312,7940592,1346150,867047,20051714,11090425
West Bengal,2118606,58,2097016,21532,67300236,61593452,10257324,5491943,155962840,97694960
